Elevator	Base	Guess	Column1
100708.39	100795.55	7	1
100709.34	100795.51	7	2
100708.64	100796.07	7	3
100709.92	100796.26	7	4
100712.67	100796.28	7	5
100712	100796.61	7	6
100710.95	100796.82	7	7
100710.41	100796.84	7	8
100709.53	100796.03	7	9
100709.83	100795.31	7	10
100710.15	100795.72	7	11
100710.59	100796.98	7	12
100709.96	100796.18	7	13
100709.66	100796.08	7	14
100708.71	100796.29	7	15
100707.91	100796.72	7	16
100708.13	100795.64	7	17
100707.9	100795.52	7	18
100705.66	100796.19	7	19
100708	100795.97	7	20
100708.41	100795.95	7	21
100707.33	100796.58	7	22
100707.46	100796.27	7	23
100707.14	100796.1	7	24
100705.02	100796	7	25
100706.78	100796.77	7	26
100707.77	100796.38	7	27
100707.01	100796.16	7	28
100706	100796.28	7	29
100705.94	100797.27	7	30
100707.97	100797.16	7	31
100710.15	100796.02	7	32
100713.97	100796.46	7	33
100719	100797.46	7	34
100721.09	100796.7	7	35
100721.72	100797.07	7	36
100722.47	100796.43	7	37
100722.91	100796.64	7	38
100725	100797.55	7	39
100726.01	100797.5	7	40
100726.49	100796.77	7	41
100722.3	100797.63	7	42
100721.45	100796.86	7	43
100721.8	100796.38	7	44
100722.09	100797.09	7	45
100722.98	100797.53	7	46
100721.16	100797.49	7	47
100723.27	100798.47	7	48
100723.93	100797.93	7	49
100724.87	100798.55	7	50
100727.68	100797.36	7	51
100729.19	100797.16	7	52
100730.09	100797.08	6	53
100731.89	100796.38	6	54
100733.61	100796.84	6	55
100735.83	100798.84	6	56
100736.2	100797.66	6	57
100737.66	100797.04	6	58
100739.72	100797.23	6	59
100740.93	100797.41	6	60
100742.59	100797.61	6	61
100743.77	100798.6	6	62
100744.02	100798.21	6	63
100743.98	100797.79	6	64
100743.56	100796.84	6	65
100743.53	100796.73	6	66
100754.38	100796.42	6	67
100755.01	100796.57	6	68
100748.84	100797.94	6	69
100748.42	100797.94	6	70
100747.18	100796.63	6	71
100747.09	100797.21	6	72
100747.89	100796.58	6	73
100749.23	100797.11	6	74
100748.04	100796.63	6	75
100748.45	100796.57	6	76
100748.68	100797.77	6	77
100748.06	100797.75	6	78
100747.69	100796.35	6	79
100747.7	100796.78	6	80
100749.05	100797.14	6	81
100749.3	100797.52	6	82
100748.88	100796.66	6	83
100748.16	100797.85	6	84
100749.28	100796.95	6	85
100748.38	100797.8	6	86
100748.15	100797.19	6	87
100749.3	100797.38	6	88
100748.41	100796.84	6	89
100747.79	100796.59	6	90
100749.03	100797.54	6	91
100749.06	100797.88	6	92
100748.88	100797.89	6	93
100749.62	100797.69	6	94
100749.73	100797.29	6	95
100748.88	100797.41	6	96
100749.3	100797.84	6	97
100747.08	100797.87	6	98
100749.19	100797.2	6	99
100749.17	100797.84	6	100
100749.63	100797.99	6	101
100748.76	100797.72	6	102
100748.17	100797.28	6	103
100750.02	100797.79	6	104
100749.38	100798.6	6	105
100749.71	100797.45	6	106
100749.03	100797.44	6	107
100747.36	100797.97	6	108
100748.37	100798.19	6	109
100748.03	100797.97	6	110
100748.97	100798.14	6	111
100751.16	100798.3	6	112
100751.8	100799.09	6	113
100752.44	100798.91	6	114
100752.09	100798.86	6	115
100755.44	100798.91	6	116
100754.08	100798.19	6	117
100756.84	100798.08	6	118
100760.31	100798.06	6	119
100761.63	100798.57	6	120
100762.74	100798.22	6	121
100763.53	100798.13	6	122
100763.78	100798.3	6	123
100763.88	100799.41	6	124
100764.39	100799.7	6	125
100764.66	100798.91	6	126
100764.13	100798.07	6	127
100763.88	100798.63	6	128
100766.98	100798.39	6	129
100767.11	100797.96	6	130
100768.48	100798.84	6	131
100769.37	100798.18	6	132
100771.52	100798.02	5	133
100774.19	100798.09	5	134
100774.19	100798.69	5	135
100775.64	100798.03	5	136
100777.61	100797.19	5	137
100778.95	100797.63	5	138
100780.77	100798.8	5	139
100782.66	100798.91	5	140
100785.17	100798.39	5	141
100785.08	100797.91	5	142
100784.79	100797.68	5	143
100791.82	100797.54	5	144
100800.7	100795.14	5	145
100792.03	100796.62	5	146
100788.13	100796.8	5	147
100787.7	100796.45	5	148
100786.91	100796.95	5	149
100785.88	100797.06	5	150
100786.22	100797.16	5	151
100786.52	100796.79	5	152
100786.13	100796.47	5	153
100787.41	100797.05	5	154
100786.67	100798.41	5	155
100788.26	100798.13	5	156
100786.98	100798.24	5	157
100785.64	100796.43	5	158
100786.05	100796.3	5	159
100786.25	100796.66	5	160
100786.89	100796.44	5	161
100787.36	100797.38	5	162
100786.93	100796.95	5	163
100787.86	100797.4	5	164
100787.02	100798.03	5	165
100787.71	100797.36	5	166
100787.4	100796.59	5	167
100787.06	100797.17	5	168
100787.53	100798.38	5	169
100787.77	100797.42	5	170
100787.78	100797.59	5	171
100788.36	100797.42	5	172
100787.86	100797.89	5	173
100787.94	100798.33	5	174
100787.38	100798.02	5	175
100788.71	100797.38	5	176
100788.14	100797.95	5	177
100787.39	100797.41	5	178
100787.77	100796.26	5	179
100786.48	100797.99	5	180
100788.98	100797.11	5	181
100789.15	100796.61	5	182
100788.82	100796.72	5	183
100788.92	100796.99	5	184
100789.2	100797.26	5	185
100787.69	100796.9	5	186
100787.45	100797.69	5	187
100789	100798.27	5	188
100788.15	100799.1	5	189
100789.06	100798.32	5	190
100790.07	100797.05	5	191
100788.34	100796.89	5	192
100786.63	100797.49	5	193
100788.3	100797.27	5	194
100788.52	100797.48	5	195
100788.45	100796.26	5	196
100789.57	100796.34	5	197
100791.58	100796.96	5	198
100791.85	100797.7	5	199
100790.16	100797.99	5	200
100793.56	100798.36	5	201
100798.26	100797.51	5	202
100800.15	100797.22	5	203
100800.48	100797.08	5	204
100801.5	100796.8	5	205
100801.25	100796.25	5	206
100803.29	100797.15	5	207
100804.21	100797.48	5	208
100804.59	100797.81	5	209
100804.64	100797.98	5	210
100805.82	100797.98	5	211
100804.47	100798.15	5	212
100806.32	100797.73	5	213
100807.65	100797.33	4	214
100808.45	100797.23	4	215
100810.39	100798.46	4	216
