Elevator Base Guess
100708.39 100795.55 7
100709.34 100795.51 7
100708.64 100796.07 7
100709.92 100796.26 7
100712.67 100796.28 7
100712.00 100796.61 7
100710.95 100796.82 7
100710.41 100796.84 7
100709.53 100796.03 7
100709.83 100795.31 7
100710.15 100795.72 7
100710.59 100796.98 7
100709.96 100796.18 7
100709.66 100796.08 7
100708.71 100796.29 7
100707.91 100796.72 7
100708.13 100795.64 7
100707.90 100795.52 7
100705.66 100796.19 7
100708.00 100795.97 7
100708.41 100795.95 7
100707.33 100796.58 7
100707.46 100796.27 7
100707.14 100796.10 7
100705.02 100796.00 7
100706.78 100796.77 7
100707.77 100796.38 7
100707.01 100796.16 7
100706.00 100796.28 7
100705.94 100797.27 7
100707.97 100797.16 7
100710.15 100796.02 7
100713.97 100796.46 7
100719.00 100797.46 7
100721.09 100796.70 7
100721.72 100797.07 7
100722.47 100796.43 7
100722.91 100796.64 7
100725.00 100797.55 7
100726.01 100797.50 7
100726.49 100796.77 7
100722.30 100797.63 7
100721.45 100796.86 7
100721.80 100796.38 7
100722.09 100797.09 7
100722.98 100797.53 7
100721.16 100797.49 7
100723.27 100798.47 7
100723.93 100797.93 7
100724.87 100798.55 7
100727.68 100797.36 7
100729.19 100797.16 7
100730.09 100797.08 6
100731.89 100796.38 6
100733.61 100796.84 6
100735.83 100798.84 6
100736.20 100797.66 6
100737.66 100797.04 6
100739.72 100797.23 6
100740.93 100797.41 6
100742.59 100797.61 6
100743.77 100798.60 6
100744.02 100798.21 6
100743.98 100797.79 6
100743.56 100796.84 6
100743.53 100796.73 6
100754.38 100796.42 6
100755.01 100796.57 6
100748.84 100797.94 6
100748.42 100797.94 6
100747.18 100796.63 6
100747.09 100797.21 6
100747.89 100796.58 6
100749.23 100797.11 6
100748.04 100796.63 6
100748.45 100796.57 6
100748.68 100797.77 6
100748.06 100797.75 6
100747.69 100796.35 6
100747.70 100796.78 6
100749.05 100797.14 6
100749.30 100797.52 6
100748.88 100796.66 6
100748.16 100797.85 6
100749.28 100796.95 6
100748.38 100797.80 6
100748.15 100797.19 6
100749.30 100797.38 6
100748.41 100796.84 6
100747.79 100796.59 6
100749.03 100797.54 6
100749.06 100797.88 6
100748.88 100797.89 6
100749.62 100797.69 6
100749.73 100797.29 6
100748.88 100797.41 6
100749.30 100797.84 6
100747.08 100797.87 6
100749.19 100797.20 6
100749.17 100797.84 6
100749.63 100797.99 6
100748.76 100797.72 6
100748.17 100797.28 6
100750.02 100797.79 6
100749.38 100798.60 6
100749.71 100797.45 6
100749.03 100797.44 6
100747.36 100797.97 6
100748.37 100798.19 6
100748.03 100797.97 6
100748.97 100798.14 6
100751.16 100798.30 6
100751.80 100799.09 6
100752.44 100798.91 6
100752.09 100798.86 6
100755.44 100798.91 6
100754.08 100798.19 6
100756.84 100798.08 6
100760.31 100798.06 6
100761.63 100798.57 6
100762.74 100798.22 6
100763.53 100798.13 6
100763.78 100798.30 6
100763.88 100799.41 6
100764.39 100799.70 6
100764.66 100798.91 6
100764.13 100798.07 6
100763.88 100798.63 6
